longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-117.26,32.95,15,1882,233,704,219,NA,500001,NEAR OCEAN
-119.15,34.17,23,2239,537,784,497,1.6038,194300,NEAR OCEAN
-116.93,32.79,23,5759,1258,3108,1202,3.0927,140600,<1H OCEAN
-120.63,37.41,27,2083,444,1462,479,2.6439,69100,INLAND
-118.43,33.86,34,358,87,162,84,NA,500001,NEAR OCEAN
-124.17,40.76,26,1776,361,992,380,2.8056,82800,NEAR OCEAN
-118,33.92,26,2830,399,1204,404,6.1273,289600,<1H OCEAN
-118.13,34.05,35,3229,616,NA,595,3.9531,268400,<1H OCEAN
-118.17,33.8,26,1589,380,883,366,3.5313,187500,NEAR OCEAN
-121.84,37.33,26,1934,408,2059,416,3.6765,163600,<1H OCEAN
-121.24,38.7,13,3243,488,1585,480,5.7133,166800,INLAND
-122.04,37.97,21,6445,1839,3621,1735,2.5841,112500,NEAR BAY
-122.15,37.41,15,2577,360,979,364,NA,500001,NEAR BAY
-122.21,38.06,52,2735,559,1076,487,3.6154,155700,NEAR BAY
-118.96,35.4,27,2473,400,1271,427,3.5524,89100,INLAND
-122.07,40.95,14,2721,627,1356,468,3.0299,73200,INLAND
-121.96,37.94,26,3084,505,1557,501,5.1582,194700,INLAND
-117.87,34.09,31,1484,327,927,317,3.6484,189600,<1H OCEAN
-117.96,34.07,35,2819,529,1508,485,4.6118,191700,<1H OCEAN
-120.85,35.38,27,3493,909,1481,666,2.3075,184200,NEAR OCEAN
-122.36,38.4,16,2716,546,898,500,2.2536,201200,INLAND
-116.99,32.77,35,2306,334,828,310,6.1103,301600,<1H OCEAN
-123.19,39.15,16,2577,495,1232,488,2.6012,125600,<1H OCEAN
-121.21,37.81,18,2404,498,1531,506,2.995,124300,INLAND
-121.31,38.03,18,4893,1008,3036,997,2.5212,110000,INLAND
-119.01,35.37,35,120,35,477,41,1.9125,47500,INLAND
-121.82,37.31,15,1504,294,1267,291,5.5145,219400,<1H OCEAN
-121.52,38.65,17,1269,233,494,231,3.9615,331300,INLAND
-121.56,39.16,35,2157,441,1009,409,1.5827,63000,INLAND
-121.43,38.54,42,3321,688,1346,658,2.4618,101300,INLAND
-117.94,33.84,25,4016,831,2166,774,3.1884,135400,<1H OCEAN
-117.92,33.68,25,2017,454,1024,428,4.4732,245600,<1H OCEAN
-118.16,34.09,33,1515,415,1345,346,2.375,175000,<1H OCEAN
-122.28,37.84,52,729,160,395,155,1.6875,132000,NEAR BAY
-122.03,37.36,16,2697,803,1369,723,4.4699,367400,<1H OCEAN
-121.92,37.31,13,6035,1551,NA,1481,4.0524,213900,<1H OCEAN
-122.07,37.39,19,1465,342,646,345,4.712,289300,NEAR BAY
-121.11,37.74,11,3886,599,1605,529,4.4213,182700,INLAND
-120.09,36.19,12,1923,559,2809,535,1.4191,55100,INLAND
-118.3,33.92,34,2053,382,1258,380,3.0139,154700,<1H OCEAN
-122.5,37.76,50,1993,410,NA,374,3.9464,295600,NA
-118.6,34.21,19,2581,857,2004,784,2.6159,182300,<1H OCEAN
-122.27,38.53,22,678,137,336,103,4.4,142500,INLAND
-121.98,37.23,33,3585,935,1511,835,3.1176,396300,<1H OCEAN
-117.76,33.88,9,4838,759,2090,695,NA,307800,<1H OCEAN
-117.46,33.94,35,1566,294,1056,279,3.5227,105400,INLAND
-118.49,34.42,23,4166,756,2082,743,4.4107,213400,<1H OCEAN
-121.89,37.3,47,2355,426,961,428,5.3955,282300,<1H OCEAN
-122.24,37.82,52,3481,751,1444,718,3.9,275700,NEAR BAY
-117.82,33.76,33,2774,428,NA,407,NA,265600,NA
-118.03,33.79,26,5321,889,2932,896,5.8914,237600,NA
-123.01,38.67,33,914,147,394,132,4.6875,246200,NA
-122.26,38.1,30,3317,1058,1794,990,1.1835,133300,NEAR BAY
-117.98,33.65,22,3335,754,1500,719,3.7315,197900,<1H OCEAN
-118.7,34.28,27,727,136,467,144,3.7188,250000,<1H OCEAN
-117.93,33.64,24,1395,396,1478,404,2.5301,192900,<1H OCEAN
-121.02,37.63,35,1591,364,1290,352,1.564,81800,INLAND
-118.48,34.07,40,3351,484,1564,523,NA,500001,<1H OCEAN
-117.87,33.72,39,3167,669,NA,619,3.5902,165900,<1H OCEAN
-118.37,33.77,26,6339,876,2540,880,NA,500001,NA
-118.16,34.15,19,1721,290,571,278,NA,500001,<1H OCEAN
-117.63,34.07,39,2650,511,1537,495,3.4432,106700,INLAND
-122.4,37.62,32,3586,921,NA,911,3.1058,253000,NEAR OCEAN
-122.3,37.56,36,1379,228,750,227,5.5381,282000,NEAR OCEAN
-117.37,33.19,33,2205,453,1138,439,2.8819,208600,NEAR OCEAN
-117.71,34.08,26,2744,494,1411,465,4.2639,154200,INLAND
-122.47,38.3,15,4885,988,2175,924,3.4031,209500,<1H OCEAN
-122.32,38.06,4,7999,1611,NA,1396,5.0969,174200,NEAR BAY
-119.24,34.27,32,4071,888,1900,874,3.2792,220500,NEAR OCEAN
-121.07,40.85,17,976,202,511,175,3.6641,80800,INLAND
-122.03,37.94,21,5541,776,2214,737,5.5777,279300,NEAR BAY
-117.21,32.81,26,2496,407,1062,380,5.5413,302100,NA
-122.26,37.83,52,1443,311,660,292,3.0125,184400,NEAR BAY
-118.16,33.91,6,3445,847,NA,712,3.1507,144000,<1H OCEAN
-122.5,37.77,52,2739,569,1312,531,3.5833,322900,NEAR BAY
-119.27,34.45,15,1659,274,679,253,5,357900,<1H OCEAN
-122.34,37.93,32,2389,652,1672,584,1.4423,88300,NEAR BAY
-117.73,33.53,3,6388,920,2129,819,NA,420600,<1H OCEAN
-118.49,34.25,33,2088,383,960,362,4.3333,232900,<1H OCEAN
-118.11,33.82,37,1987,347,1095,357,4.3203,232800,<1H OCEAN
-118.14,34.14,17,3404,1011,1694,949,2.9511,282300,<1H OCEAN
-120.45,34.63,25,2445,368,983,363,4.9286,180100,NEAR OCEAN
-117.2,34.24,22,8106,1665,1062,423,3.0434,137200,INLAND
-122.07,37.91,33,1550,277,638,254,3.6833,292500,NA
-117.23,32.81,22,3205,429,1083,410,NA,406300,NEAR OCEAN
-118.32,34.04,42,1766,404,1117,367,2.0259,168800,<1H OCEAN
-117.8,33.69,15,2099,322,NA,307,NA,328000,<1H OCEAN
-119.55,36.71,32,1963,508,2052,518,1.9076,55800,INLAND
-121.05,39.2,48,1759,389,NA,350,2.3125,108300,INLAND
-118.44,34.23,43,2257,429,1418,442,4.5278,181800,<1H OCEAN
-118.18,33.77,37,2653,754,1087,698,2.3523,325000,NEAR OCEAN
-120.81,38.73,38,2005,385,882,353,2.5104,120500,INLAND
-118.29,33.99,43,1902,398,1153,363,1.9375,112900,<1H OCEAN
-119.79,34.45,24,2746,433,1076,380,5.8635,348700,NA
-117.12,32.75,20,1406,413,850,412,2.3261,114600,NEAR OCEAN
-117.84,33.74,25,1818,577,1426,532,3.2104,112500,<1H OCEAN
-120.74,39.82,9,1955,398,294,122,3.9583,126500,INLAND
-118.31,33.94,40,1323,243,684,229,3.2206,145800,<1H OCEAN
-122.81,38.08,19,1615,366,815,337,3.4609,238800,NEAR OCEAN
-117.31,33.17,7,2349,312,809,282,5.552,283900,NEAR OCEAN
-120.85,37.49,39,2840,733,2606,737,1.9429,76400,INLAND
-121.32,38.41,17,4401,655,1970,639,5.8239,247500,INLAND
-121.44,36.51,31,1636,380,1468,339,3.2219,114700,<1H OCEAN
-117.24,32.75,41,1989,514,1015,489,2.79,226000,NEAR OCEAN
-117.37,34.12,32,3190,568,1614,512,3.8398,118200,INLAND
-118.24,34.22,36,2507,517,1232,470,5.529,241300,<1H OCEAN
-117.31,34.13,35,1622,393,NA,362,1.9286,68500,INLAND
-122.27,38.28,37,1170,303,NA,302,2.6618,136200,NEAR BAY
-122.32,38.32,26,2710,498,1439,484,5,175200,NEAR BAY
-123.41,41.6,23,1654,369,669,273,1.965,65400,INLAND
-117.21,33.82,2,4198,805,1943,673,3.9052,122100,INLAND
-122.31,40.47,26,2723,551,1326,547,2.3594,66000,INLAND
-117.02,32.74,12,3301,963,2000,879,1.8594,119200,NEAR OCEAN
-121.26,38.11,4,2058,366,NA,316,4.2448,150900,INLAND
-119.21,34.19,15,5614,989,NA,994,5.035,242900,NEAR OCEAN
-122.02,37.29,18,2550,312,999,320,NA,500001,<1H OCEAN
-117.89,33.6,36,1496,247,441,203,NA,500001,<1H OCEAN
-119.51,34.4,24,3422,596,1763,601,5.2039,301300,NA
-117.35,33.17,36,1977,423,812,387,3.625,198000,NEAR OCEAN
-117.85,33.81,26,4186,767,2447,777,4.9917,248100,<1H OCEAN
-121.85,37.26,16,1816,241,793,234,NA,291200,NA
-117.97,33.68,26,1616,292,700,241,5.5105,232100,<1H OCEAN
-116.22,33.74,26,4120,858,2918,815,3.3107,69400,INLAND
-117.27,33.05,15,3333,808,1371,737,2.9083,122400,NEAR OCEAN
-118.41,33.92,22,2340,584,1141,554,4.5729,337500,NA
-121.45,38.57,52,2006,412,825,384,3.2963,236100,INLAND
-121.89,37.29,36,2959,529,1125,520,4.2614,268800,<1H OCEAN
-119.73,36.73,9,1621,428,678,394,2.2437,54200,INLAND
-121.36,38.01,16,1080,166,507,182,4.5278,166900,INLAND
-119.34,36.34,5,4505,834,1917,775,4.0144,126600,INLAND
-118.05,33.96,37,2622,652,2778,644,2.9714,160300,<1H OCEAN
-118.26,33.78,35,1239,473,1524,387,2.0956,154700,NEAR OCEAN
-122.35,38.3,18,3735,557,1504,521,5.6304,243100,NEAR BAY
-118.49,34.06,42,2861,360,829,310,NA,500001,<1H OCEAN
-119.05,35.42,41,1992,421,1006,419,2.8393,57000,INLAND
-122.2,37.77,39,2689,597,1888,537,2.2562,94800,NEAR BAY
-121.94,37.25,16,3942,749,1894,737,5.2894,332800,NA
-117.14,32.72,34,2533,862,2011,778,2.1199,160400,NEAR OCEAN
-118.12,34.15,35,1760,447,984,384,3.4167,198200,<1H OCEAN
-122.32,37.93,40,1141,213,434,196,3.9464,186900,NEAR BAY
-122.08,37.35,33,2398,317,832,314,NA,500001,NEAR BAY
-121.8,38.01,46,2273,495,1088,447,2.2532,109400,INLAND
-118.1,34.07,36,3661,956,3816,931,2.5104,185000,<1H OCEAN
-118.29,34.01,50,2238,673,2247,583,1.6505,125000,<1H OCEAN
-121.87,37.3,28,859,199,455,211,2.3293,215900,<1H OCEAN
-117.47,33.91,21,3491,760,1920,669,2.2241,127300,INLAND
-122.25,37.81,52,1758,460,686,422,3.1691,259400,NEAR BAY
-121.42,38.51,21,3249,666,2611,663,1.9423,87800,INLAND
-117.94,34.04,33,1493,331,1571,354,3.8864,158900,<1H OCEAN
-121.11,37.43,42,412,75,NA,75,2.5,74200,INLAND
-118.35,34.03,35,1438,333,794,306,1.975,138100,<1H OCEAN
-122.23,38.33,31,3440,574,1538,537,5.5368,325900,NEAR BAY
-117.1,33.09,5,12045,2162,5640,1997,4.4375,353000,<1H OCEAN
-117.76,34.04,36,2242,448,2052,447,3.4464,113000,INLAND
-120.94,39.32,14,3120,595,NA,556,3.5385,157400,INLAND
-119.01,35.37,45,629,143,568,139,1.7321,84400,INLAND
-118.28,34,43,713,245,880,237,1.2065,103600,<1H OCEAN
-121.06,39.25,17,3127,539,1390,520,3.9537,172800,INLAND
-120.31,38.02,11,2366,398,NA,387,3.8203,139700,INLAND
-117.84,33.74,22,6072,1802,4715,1666,3.1353,121400,<1H OCEAN
-122.26,38.02,5,3846,786,NA,716,5.0473,184800,NEAR BAY
-118.12,34.08,36,2433,585,1565,563,3.2344,234900,NA
-118.4,34.7,10,4122,814,NA,710,4.2941,151600,INLAND
-118.15,34.19,47,1717,314,868,295,3.6094,160700,<1H OCEAN
-121.47,38.54,36,2099,510,1845,483,1.4138,52500,INLAND
-119.19,34.16,35,2733,510,NA,511,4.4187,183400,NEAR OCEAN
-117.47,33.93,33,919,208,724,235,3.4028,110500,INLAND
-122.07,37.65,31,3300,790,2181,740,3.016,161800,NEAR BAY
-122.22,38.1,44,2256,451,1057,426,3.1204,110800,NEAR BAY
-116.25,33.69,5,1664,444,907,374,2.7667,92900,INLAND
-118.2,33.98,43,1091,320,1418,316,2.1522,159400,<1H OCEAN
-118.14,34.7,36,1205,317,678,290,2.0182,98400,INLAND
-122.45,37.67,35,491,98,274,97,4.4286,238600,NEAR OCEAN
-118.22,34.22,39,2686,417,1094,402,NA,500001,<1H OCEAN
-118.34,34.86,11,7353,1482,3571,1308,2.8097,130000,INLAND
-119.73,36.56,32,1513,272,1038,272,3.0469,82700,INLAND
-117.88,34.13,33,3713,718,NA,720,4.0023,185500,<1H OCEAN
-118.31,34.01,39,2073,566,1246,547,2.0417,117100,<1H OCEAN
-121.4,38.49,12,7290,1283,3960,1248,3.5968,106300,INLAND
-117.21,32.75,27,2072,534,1118,510,2.8043,262100,NEAR OCEAN
-122.03,37.61,33,1518,302,831,268,5.097,188600,NEAR BAY
-119.8,36.83,17,1560,261,709,258,4.3315,95800,INLAND
-122.18,37.73,42,909,215,646,198,2.9063,80000,NEAR BAY
-121.44,38.43,3,39320,6210,16305,5358,4.9516,153700,INLAND
-117.21,33.71,16,8476,1758,2711,1427,2.1848,97900,<1H OCEAN
-119.03,35.34,36,3474,645,1679,616,2.7256,71900,INLAND
-118.59,35.72,28,1491,408,98,48,1.4205,90000,INLAND
-122.37,40.6,7,5178,1336,2557,1283,2.4079,111400,INLAND
-118.33,34.27,29,3034,732,1776,702,3.1349,230200,<1H OCEAN
-121.31,38.03,24,3050,568,1743,549,3.7413,105300,INLAND
-116.89,32.82,18,2515,443,NA,449,5.0201,154400,<1H OCEAN
-117.19,32.75,52,25,5,13,5,0.536,162500,NEAR OCEAN
-122.23,37.79,48,1696,396,1481,343,2.0375,122500,NEAR BAY
-117.19,34.08,5,4458,751,2392,773,4.5938,126500,INLAND
-121.25,38.07,28,2103,422,1167,391,3.0592,152800,INLAND
-122.33,37.55,33,2199,312,827,319,6.1349,500001,NEAR OCEAN
-117.44,33.9,23,4487,754,2609,778,4.2788,148700,INLAND
-118.22,33.99,6,1499,437,1754,447,4.3164,143200,<1H OCEAN
-116.98,32.73,16,952,143,530,143,5.0864,175300,<1H OCEAN
-118.4,34.01,48,1427,253,693,268,5.7405,351600,NA
-118.17,34.19,45,1790,316,1035,312,4.0985,173100,<1H OCEAN
-117.89,33.73,33,1308,375,2175,347,3.0824,177400,<1H OCEAN
-118.14,33.84,45,1908,361,890,342,4.575,336000,<1H OCEAN
-117.25,34.16,31,1516,238,596,255,4.3362,159400,INLAND
-122.45,38.27,25,5024,881,1994,838,4.2237,262300,NEAR BAY
-120.48,34.66,4,1897,331,915,336,4.1563,172600,NEAR OCEAN
-120.45,34.65,25,980,276,NA,245,2,87500,NEAR OCEAN
-121.9,37.27,33,3410,583,1739,588,5.0714,255600,<1H OCEAN
-118.25,33.98,39,1553,461,2271,437,1.7378,121900,<1H OCEAN
-119.02,35.37,44,2687,620,1521,549,1.7213,61600,INLAND
-117.8,33.78,17,4138,805,2442,780,4.7804,242000,<1H OCEAN
-118.24,34.14,27,2909,1021,2614,935,2.1444,229000,<1H OCEAN
-118.43,34.17,42,777,102,284,113,NA,500001,NA
-117.02,32.76,15,1204,326,543,326,1.0278,154200,<1H OCEAN
-118.23,34.14,39,277,89,182,91,2.3958,175000,<1H OCEAN
-122.26,38.11,52,793,216,505,194,1.9667,93800,NEAR BAY
-117.37,34.1,10,3404,855,1656,675,1.6977,91300,INLAND
-122.89,38.38,16,2017,369,931,336,5.7664,267500,NA
-117.39,33.96,49,2527,461,1344,451,4.0833,114400,INLAND
-118.23,34.22,37,1376,237,618,226,5.9771,431800,<1H OCEAN
-122.3,37.77,42,2038,368,2037,355,2.6447,200000,NEAR BAY
-120.61,35.06,13,2364,421,1257,380,4.6167,273100,<1H OCEAN
-116.9,33.93,34,3183,738,1820,647,2.2321,71800,INLAND
-117.2,32.84,32,2033,394,989,389,3.2583,181400,NEAR OCEAN
-122.91,39.05,27,789,208,295,108,3.7667,95000,INLAND
-120.17,39.33,18,1046,204,486,179,4.119,110900,INLAND
-117.52,33.82,14,3776,580,1877,559,5.1365,215000,INLAND
-118.52,34.04,42,993,130,368,134,NA,500001,<1H OCEAN
-121.93,37.89,13,2085,292,852,264,NA,366700,INLAND
-122.29,37.89,52,2269,380,NA,371,5.1696,261400,NEAR BAY
-118.52,34.04,43,2167,254,761,256,NA,500001,NA
-118.06,34,34,5002,917,NA,893,3.9243,219800,<1H OCEAN
-121.23,38.78,13,3813,871,1513,783,2.0807,142600,INLAND
-121.65,37.11,14,6006,914,NA,898,5.9356,321700,<1H OCEAN
-121.31,38.62,31,3114,430,1121,456,NA,240000,INLAND
-122.19,37.78,52,2492,415,1109,375,4.3125,164400,NEAR BAY
-118.25,34.1,42,598,147,312,144,2.625,164300,<1H OCEAN
-122.02,37.38,43,1261,317,NA,333,4.0911,224600,<1H OCEAN
-122.77,38.92,26,712,140,293,100,4.0119,119400,INLAND
-118.28,33.75,41,1305,381,1384,369,2.45,186800,NEAR OCEAN
-121.85,37.72,43,228,40,83,42,NA,400000,NA
-121.43,38.53,36,2430,426,NA,437,3.1667,81900,INLAND
-115.52,33.12,38,1327,262,784,231,1.8793,60800,INLAND
-122.51,37.98,37,4801,699,1830,679,6.0762,487800,NEAR BAY
-122.45,40.61,17,785,155,417,136,2.3289,58200,INLAND
-117.09,33.03,17,2786,396,1228,396,NA,220700,<1H OCEAN
-121.28,38.11,10,2974,588,1559,568,3.8825,136800,INLAND
-118.26,33.96,39,1542,375,1256,361,1.7167,100000,<1H OCEAN
-120.54,34.97,23,1353,345,1322,336,1.8185,97800,<1H OCEAN
-118.25,34.1,42,4198,956,NA,878,3.7184,277300,NA
-121.94,38.36,2,4953,735,1791,562,5.0346,205100,INLAND
-122.03,37.31,25,2131,410,1132,395,5.3508,409100,<1H OCEAN
-122.39,37.76,52,3390,691,1645,596,3.7051,253700,NA
-118.41,33.94,45,2038,394,1086,387,4.7375,289600,<1H OCEAN
-120.48,34.9,20,3842,630,2490,662,3.0559,120100,<1H OCEAN
-117.73,34.07,33,1025,261,854,269,2.2596,119400,INLAND
-117.95,33.92,32,1661,312,1201,302,4,178200,<1H OCEAN
-121.92,37.48,23,4314,676,NA,623,5.3813,264400,<1H OCEAN
-120.34,38.23,10,3757,722,546,223,3.75,121400,INLAND
-121.5,36.81,20,1345,230,731,217,4.2333,363300,INLAND
-122.28,37.85,49,1130,244,607,239,2.4597,93800,NEAR BAY
-118.49,34.24,34,1971,316,917,307,6.0965,262300,<1H OCEAN
-118.42,34.31,19,6755,1443,4205,1395,3.9583,163200,<1H OCEAN
-119.25,34.21,12,15201,2418,7132,2251,5.6756,301800,NEAR OCEAN
-122.41,37.75,52,2515,576,NA,540,3.5912,284900,NEAR BAY
-117.33,33.22,21,2868,602,855,559,2.7846,91200,NEAR OCEAN
-117.66,33.6,25,3745,522,1648,496,NA,278100,<1H OCEAN
-118.24,34,38,1715,414,1714,389,1.7132,108200,<1H OCEAN
-119.99,38.94,24,1216,289,NA,185,3.1625,103600,INLAND
-118.28,33.95,41,835,208,NA,192,1.4103,86200,<1H OCEAN
-118.44,34.16,35,3080,642,NA,623,4.1218,328500,<1H OCEAN
-117.23,32.72,38,2827,581,972,558,3.2361,500001,NEAR OCEAN
-121.36,38.01,16,2178,667,1192,579,2.3339,87100,INLAND
-118.13,34.13,39,2099,397,1500,380,4.8304,493200,<1H OCEAN
-118.08,33.93,33,2263,511,NA,457,3.5556,172800,<1H OCEAN
-121.49,38.49,26,1557,301,986,300,2.6613,77700,INLAND
-118.03,33.96,37,1745,365,NA,368,4.0536,171400,<1H OCEAN
-117.41,34,26,2372,621,1647,612,1.4719,88600,INLAND
-117.94,33.81,33,1891,334,932,343,4.2759,238000,<1H OCEAN
-119.67,36.35,10,1090,164,470,158,4.9432,118800,INLAND
-118.35,33.93,26,3156,857,2394,787,3.01,191900,<1H OCEAN
-118.32,33.94,36,1722,280,830,261,4.0536,189000,<1H OCEAN
-122.3,38.3,52,1128,207,450,197,3.3542,154600,NEAR BAY
-118.33,33.88,30,1856,444,899,435,3.1505,270000,NA
-117.69,36.13,25,1709,439,632,292,1.7868,45500,INLAND
-122.18,37.78,43,1985,440,1085,407,3.4205,136700,NEAR BAY
-117.66,33.64,17,3173,501,1555,520,NA,250800,<1H OCEAN
-118.46,34.2,22,4855,1350,2519,1258,3.0893,205600,<1H OCEAN
-118.29,33.94,47,1782,338,1003,329,2.5398,105700,<1H OCEAN
-119.08,34.17,32,166,22,63,29,NA,125000,NEAR OCEAN
-119.08,34.35,24,3663,828,NA,778,3.2757,186000,<1H OCEAN
-122.01,37.93,25,2652,335,NA,334,NA,330200,NEAR BAY
-121,37.62,28,1153,420,1043,357,1.0801,75000,INLAND
-117.39,34.07,15,1966,331,1118,323,3.8558,122700,INLAND
-118.45,34,48,1923,408,1142,433,4.575,326700,<1H OCEAN
-122.4,40.57,23,1321,259,749,222,1.655,90100,INLAND
-119.8,36.72,43,1286,360,972,345,0.9513,50400,INLAND
-121.94,37.24,26,2561,388,1165,393,NA,363800,<1H OCEAN
-121.49,38.56,35,1521,457,987,455,1.9013,86900,INLAND
-121.3,38.61,25,2707,464,1423,490,4.3235,116900,INLAND
-119.41,36.68,18,1802,332,945,292,3.4044,115300,INLAND
-118.29,33.84,33,896,208,843,200,3.5,183000,<1H OCEAN
-117.06,33.78,17,2813,565,1345,488,2.5847,145300,INLAND
-119.09,36.21,38,1901,453,1613,400,1.8828,44600,INLAND
-122.7,38.35,16,1328,187,NA,197,5.0366,257800,NA
-117.02,32.71,20,4050,745,2870,761,3.7366,121800,NEAR OCEAN
-122.24,37.8,52,888,168,360,175,2.1944,211500,NEAR BAY
-117.17,32.78,17,3845,1051,3102,944,2.3658,164100,NEAR OCEAN
-122.48,37.78,48,2835,728,1674,684,3.129,375000,NEAR BAY
-118.41,33.9,39,2311,404,NA,380,NA,472100,<1H OCEAN
-121.54,39.13,18,4289,1021,2707,939,1.3375,59600,INLAND
-121.57,39.16,21,1872,302,870,301,3.725,84700,INLAND
-121.92,37.53,7,28258,3864,12203,3701,NA,451100,<1H OCEAN
-117.95,34.03,33,1782,394,1517,376,3.3389,157900,<1H OCEAN
-118.46,34.18,35,1819,465,1336,419,3.4583,253200,<1H OCEAN
-117.94,33.8,28,2914,489,1500,499,4.9429,254800,<1H OCEAN
-118.1,33.85,28,2825,470,NA,469,5.2639,242000,NA
-117.1,33.56,6,1868,289,750,247,4.3833,307600,<1H OCEAN
-121.87,38.02,52,2264,439,1403,476,2.7083,99400,INLAND
-118.19,34.03,42,2250,629,2588,609,1.9719,134200,<1H OCEAN
-121.79,38.54,7,1777,513,4479,504,1.4653,310000,NA
-117.84,33.76,22,378,78,196,81,3.6806,219400,<1H OCEAN
-120.86,37.77,28,1208,232,535,232,2.3523,94700,INLAND
-118.31,34.08,31,2275,823,2189,720,1.7542,287500,NA
-117.22,32.75,24,3914,985,2147,874,2.9735,225000,NEAR OCEAN
-123.21,39.13,27,1531,266,822,234,4.0469,127400,<1H OCEAN
-117.91,34.14,42,2225,485,1544,464,2.2442,166700,INLAND
-117.62,33.42,27,1444,412,597,311,3.1395,310000,NEAR OCEAN
-118.39,34.15,36,2696,713,905,659,3.1146,373500,<1H OCEAN
-118.35,34,40,2894,395,1063,409,NA,372000,NA
-122.11,37.37,49,1068,190,410,171,NA,500001,NA
-118.41,34.03,36,3053,635,1234,577,5.1637,500001,<1H OCEAN
-121.46,38.63,26,3185,658,2444,626,1.56,67600,INLAND
-117.6,33.65,4,3134,504,1599,485,NA,233900,<1H OCEAN
-122.18,37.77,52,1748,362,NA,366,2.0556,100000,NEAR BAY
-121.22,38.43,20,2054,339,934,336,4.5368,219300,INLAND
-122.83,38.99,15,289,49,191,54,1.6833,113900,INLAND
-118.28,33.96,41,1175,340,1241,352,1.2273,98400,<1H OCEAN
-122,37.95,9,2214,256,848,239,NA,339200,INLAND
-118.3,34.25,36,1300,304,688,261,3.1523,176700,<1H OCEAN
-118.3,33.74,28,1065,215,887,217,3.9375,270500,NEAR OCEAN
-122,37.54,29,4133,744,2023,749,5.1616,275100,<1H OCEAN
-122.49,37.78,47,2695,643,1505,644,3.0877,329100,NEAR BAY
-118.01,34.05,37,682,172,813,173,3.8125,138000,<1H OCEAN
-121.32,38.57,25,692,146,504,167,3.6897,101100,INLAND
-119.89,36.7,32,1485,269,867,271,2.5809,78300,INLAND
-122.48,37.73,47,2382,392,867,376,5.2598,371500,NEAR OCEAN
-119.63,36.33,14,2928,600,1633,559,1.8385,67500,INLAND
-122.3,37.54,39,4292,1097,1758,987,2.9405,340500,NEAR OCEAN
-117.88,33.88,15,957,360,615,370,3.0263,162500,<1H OCEAN
-118.13,33.84,35,3008,674,1584,671,3.5465,213200,<1H OCEAN
-117.36,33.18,39,1546,291,833,308,2.8893,185400,NEAR OCEAN
-119.78,36.78,37,2185,455,1143,438,1.9784,70700,INLAND
-118.03,34.15,43,1694,283,674,267,4.1797,486800,INLAND
-117.69,33.64,18,3783,654,NA,623,5.7559,215800,<1H OCEAN
-121.32,38.69,11,13796,2372,6000,2250,3.8776,124500,INLAND
-120.86,37.49,37,1084,271,893,236,1.6213,69500,INLAND
-122.42,37.79,52,2737,1241,NA,1029,1.8068,225000,NEAR BAY
-119.75,34.44,28,1080,298,524,251,1.8432,327300,NA
-117.69,34.07,34,4055,739,2470,753,3.8586,136000,INLAND
-122.26,37.52,34,483,131,291,157,3.0833,256300,NA
-117.13,32.71,37,1220,325,1472,323,1.825,81500,NEAR OCEAN
-118.76,34.28,21,2786,342,1114,322,5.8578,266300,<1H OCEAN
-118.11,34.06,30,1547,436,1700,410,2.5488,187500,<1H OCEAN
-117.58,33.87,17,2772,449,NA,461,5.0464,163900,INLAND
-122.42,37.74,52,1651,351,973,366,3.4583,240900,NA
-116.23,33.71,17,4874,1349,5032,1243,2.444,90000,INLAND
-117.84,34.12,34,2026,345,1142,332,4.392,187600,INLAND
-117.89,33.71,16,1591,225,926,239,NA,266300,<1H OCEAN
-117.87,33.6,20,3212,572,1064,526,NA,500001,<1H OCEAN
-120.99,38.69,5,5743,1074,2651,962,4.1163,172500,INLAND
-117.87,33.69,4,2337,768,983,655,3.7174,275000,NA
-118.51,34.04,40,1382,167,483,178,NA,500001,<1H OCEAN
-117.2,34.04,23,1762,267,1132,279,5.9915,153200,INLAND
-122.3,38.25,18,3548,880,1476,699,3.7188,163400,NEAR BAY
-117.8,33.69,14,1800,362,874,373,4.2083,251000,<1H OCEAN
-118.18,33.94,44,1337,245,NA,240,3.4688,183600,<1H OCEAN
-117.28,34.17,26,3106,603,1396,576,3.1736,122200,INLAND
-118.1,33.85,36,956,159,416,157,4.6429,223700,<1H OCEAN
-120.09,34.62,18,2708,382,988,359,5.5194,367000,NEAR OCEAN
-122.37,40.52,18,4547,774,2269,766,3.7896,98100,INLAND
-121.29,37.72,22,1630,404,4402,358,1.9792,63000,INLAND
-117.15,32.74,43,2383,607,962,587,2.2578,263600,NEAR OCEAN
-117.88,33.74,16,1444,446,2329,441,3.1691,159400,<1H OCEAN
-118.2,33.87,26,703,202,757,212,2.525,155500,<1H OCEAN
-122.4,40.51,20,1750,352,834,340,2.485,100600,INLAND
-118.27,34.05,52,1292,864,2081,724,0.9563,275000,<1H OCEAN
-118.09,33.76,26,1625,440,533,414,1.808,58500,<1H OCEAN
-122.05,37.87,30,2296,329,847,322,NA,397500,NA
-118.19,33.77,31,1711,691,1092,568,1.0714,150000,NEAR OCEAN
-122.08,37.68,26,2607,682,1401,607,2.6563,184100,NEAR BAY
-119.74,36.73,42,1236,272,946,261,2.0536,50000,INLAND
